Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,QOL
Russia,Dikson,0,22.6,127.1,237,189.1,141,223.2,139.5,60,24.8,0,0,1164.3,5.66
Norway,Bergen,19,56,94,147,186,189,167,144,86,60,27,12,1187,7.31
Peru,Lima,179.1,169,139.2,184,116.4,50.6,28.6,32.3,37.3,65.3,89,139.2,1230,5.52
Norway,Tromsø,3,32,112,160,218,221,205,167,92,49,6,0,1265,7.31
Argentina,Ushuaia,180.2,150.4,124.9,92.7,78,50.3,35,58.3,87.6,113,140,170.8,1281.2,6.02
China,Chongqing,48,56,81,111,139,128,221,222,123,63,47,54,1293,5.81
Iceland,Reykjavik,20,60,109,164,201,174,168,155,120,93,41,22,1326,7.53
Colombia,Bogotá,156,128,107,88,83,94,114,117,109,96,103,138,1328,5.63
Taiwan,Taipei,80.6,71.3,89.6,92.6,113.7,121.7,179,188.9,153.7,124,99.4,90.7,1405.2,6.53
United Kingdom,Edinburgh,54,79,115,145,188,166,172,162,129,101,71,46,1427,6.79
Ireland,Dublin,59,75,109,160,195,179,164,157,129,103,71,53,1453,6.91
Canada,Iqaluit,32.4,94,172.2,216.5,180.5,200.2,236.8,156.8,87.9,51.4,35.6,12.6,1476.8,6.96
Belgium,Brussels,59,77,114,159,191,188,201,190,143,113,66,45,1546,6.85
Switzerland,Zurich,48,77,125,159,186,204,230,208,151,93,50,35,1566,7.24
Thailand,Hat Yai,182.9,166.7,186,144,114.7,111,114.7,114.7,108,111.6,105,108.5,1567.8,5.84
Poland,Warsaw,43,59,115,150,211,237,226,214,153,99,39,25,1571,6.26
Congo,Pointe-Noire,157,156,164,160,150,132,119,106,70,93,123,144,1574,5.26
Ecuador,Guayaquil,102.3,101.7,139.5,150,167.4,123,127.1,133.3,144,136.4,120,136.4,1581.1,5.55
Vietnam,Hanoi,74,47,47,90,183,172,195,174,176,167,137,124,1585,5.76
Indonesia,Medan,129.6,141,153.1,131.2,134.8,157.9,153.9,143.9,123.1,116.3,104.8,98.1,1587.7,5.27
United States,Albuquerque,234.2,225.3,270.2,304.6,347.4,359.3,335,314.2,286.7,281.4,233.8,223.3,3415.4,6.89
Morocco,Ouarzazate,251.8,244.9,297.2,315.2,332.7,335,317.7,293.2,266.4,271.3,242.9,248.1,3416.4,4.9
Oman,Muscat,268.6,244.8,278.3,292.5,347.4,325.7,277.7,278.6,303.9,316.9,291.9,267,3493.3,6.85
Australia,Alice Springs,306,276.8,300.7,285,263.5,252,282.1,306.9,300,313.1,303,310,3499.1,7.09
Chad,Abéché,316.2,291.2,300.7,300,313.1,300,254.2,226.3,261,306.9,312,319.3,3500.9,4.39
United ArabEmirates,Dubai,254.2,229.6,254.2,294,344.1,342,322.4,316.2,309,303.8,285,254.2,3508.7,6.57
Egypt,Hurghada,265.7,277.6,274.3,285.6,317.4,348,352.3,322.4,301.6,275.2,263.9,246.7,3530.7,4.17
Egypt,Cairo,229.4,234.9,279,306,331.7,363,372,356.5,318,294.5,246,210.8,3541.8,4.17
United States,Fresno,141.5,196.9,286.2,335.5,398.9,412.2,428.2,399.6,345.9,302.3,189.9,127.1,3564.2,6.89
Botswana,Ghanzi,295,280,313,282,316,306,316,319,305,279,300,267,3579,3.43
Egypt,Alexandria,217,226.2,279,318,337.9,357,372,368.9,333,306.9,246,207.7,3579.5,4.17
Kenya,Lodwar,319,280,282,279,307,297,279,310,321,316,282,310,3582,4.48
Namibia,Windhoek,288,254,282,273,310,309,326,341,321,319,297,285,3605,4.63
United States,Sacramento,145.5,201.3,278,329.6,406.3,419.5,440.2,406.9,347.8,296.7,194.9,141.1,3607.8,6.89
Madagascar,Toliara,305,285,296,302,306,277,291,298,307,324,313,306,3610,4.01
Algeria,Tamanrasset,297.6,275.5,322.4,327,328.6,306,356.5,331.7,288,310,285,272.8,3686,5.32
South Africa,Upington,352.9,298.7,297.5,283.5,290.5,270.3,289.8,307.3,300.2,328.9,345.2,367,3731.8,5.27
Sudan,Khartoum,341,311,310,330,300,300,279,279,300,310,330,341,3737.1,4.14
United States,El Paso,254.5,263,326,348,384.7,384.1,360.2,335.4,304.1,298.6,257.6,246.3,3762.5,6.89
United States,Tucson,259.9,258.2,320.7,357.2,400.8,396.9,342.7,335.6,316.4,307.4,264.4,245.8,3806,6.89
United States,Las Vegas,245.2,246.7,314.6,346.1,388.1,401.7,390.9,368.5,337.1,304.4,246,236,3825.3,6.89
Namibia,Keetmanshoop,353,300,312,306,304,287,305,323,319,343,348,348,3870,4.63
United States,Phoenix,256,257.2,318.4,353.6,401,407.8,378.5,360.8,328.6,308.9,256,244.8,3871.6,6.89
Chile,Calama,353.4,305.1,319.3,312,306.9,297,310,316.2,321,356.5,363,365.8,3926.2,6.33
Egypt,Dakhla Oasis,294.5,279.7,316.2,315,356.5,366,384.4,375.1,336,328.6,300,291.4,3943.4,4.17
Egypt,Marsa Alam,279,283,310,330,372,390,403,372,330,310,300,279,3958,4.17
United States,Yuma,268.4,270.8,335.5,365.5,407.4,415.4,392.6,375.6,341.7,319.6,270.1,252.7,4015.3,6.89
